date,value
11-10-2015,201.416
12-10-2015,200.629
13-10-2015,199.893
14-10-2015,197.651
15-10-2015,196.906
16-10-2015,198.993
17-10-2015,197.887
18-10-2015,195.268
19-10-2015,193.681
20-10-2015,196.682
21-10-2015,190.816
22-10-2015,187.951
23-10-2015,188.673
24-10-2015,190.075
25-10-2015,187.569
26-10-2015,184.445
27-10-2015,184.862
28-10-2015,185.436
29-10-2015,189.403
30-10-2015,187.266
31-10-2015,187.108
1-11-2015,178.226
2-11-2015,179.369
3-11-2015,187.367
4-11-2015,193.683
5-11-2015,193.586
6-11-2015,195.37
7-11-2015,195.494
8-11-2015,190.256
9-11-2015,190.367
10-11-2015,191.468
11-11-2015,186.953
12-11-2015,184.47
13-11-2015,187.715
14-11-2015,188.995
15-11-2015,185.982
16-11-2015,187.515
17-11-2015,190.678
18-11-2015,193.132
19-11-2015,191.866
20-11-2015,193.873
21-11-2015,196.347
22-11-2015,195.153
23-11-2015,194.088
24-11-2015,195.06
25-11-2015,188.492
26-11-2015,173.735
27-11-2015,173.645
28-11-2015,173.389
29-11-2015,170.027
30-11-2015,168.103
1-12-2015,171.118
2-12-2015,182.87
3-12-2015,186.457
4-12-2015,190.971
5-12-2015,194.508
6-12-2015,197.835
7-12-2015,196.564
8-12-2015,196.478
9-12-2015,198.948
10-12-2015,199.172
11-12-2015,200.323
12-12-2015,199.367
13-12-2015,197.482
14-12-2015,196.76
15-12-2015,197.19
16-12-2015,196.475
17-12-2015,192.305
18-12-2015,192.129
19-12-2015,187.008
20-12-2015,180.941
21-12-2015,179.361
22-12-2015,180.666
23-12-2015,161.978
24-12-2015,161.92
25-12-2015,175.624
26-12-2015,174.063
27-12-2015,173.489
28-12-2015,179.102
29-12-2015,172.279
30-12-2015,170.028
31-12-2015,168.191
1-1-2016,164.033
2-1-2016,159.066
3-1-2016,156.409
4-1-2016,157.538
5-1-2016,170.83
6-1-2016,172.386
7-1-2016,175.521
8-1-2016,177.474
9-1-2016,177.073
10-1-2016,175.756
11-1-2016,176.652
12-1-2016,174.947
13-1-2016,177.551
14-1-2016,172.134
15-1-2016,174.722
16-1-2016,174.572
17-1-2016,171.549
18-1-2016,173.064
19-1-2016,174.463
20-1-2016,175.14
21-1-2016,172.146
22-1-2016,176.673
23-1-2016,173.294
24-1-2016,171.287
25-1-2016,171.559
26-1-2016,174.49
27-1-2016,173.797
28-1-2016,169.657
29-1-2016,168.719
30-1-2016,170.307
31-1-2016,166.738
1-2-2016,168.01
2-2-2016,170.928
3-2-2016,168.869
4-2-2016,171.197
5-2-2016,169.258
6-2-2016,155.882
7-2-2016,152.075
8-2-2016,151.43
9-2-2016,153.472
10-2-2016,151.913
11-2-2016,152.3
12-2-2016,153.594
13-2-2016,163.351
14-2-2016,167.348
15-2-2016,167.139
16-2-2016,168.553
17-2-2016,166.239
18-2-2016,148.156
19-2-2016,155.401
20-2-2016,157.854
21-2-2016,157.651
22-2-2016,158.962
23-2-2016,162.544
24-2-2016,162.035
25-2-2016,162.096
26-2-2016,160.587
27-2-2016,161.068
28-2-2016,161.774
29-2-2016,158.755
1-3-2016,160.377
2-3-2016,163.333
3-3-2016,161.307
4-3-2016,161.65
5-3-2016,163.082
6-3-2016,158.83
7-3-2016,159.795
